City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
121,glogow,51,PL,1567121027,96,51.66,69.01,1.01,16.08
122,salvador,90,BR,1567121027,94,-12.98,71.6,4.7,-38.48
123,maniitsoq,41,GL,1567121027,57,65.42,47.32,5.46,-52.9
124,pimentel,6,BR,1567120447,68,-3.7,77.38,3.51,-45.5
125,hami,13,CN,1567121028,17,42.84,78.28,4.85,93.51
126,bemidji,1,US,1567121028,39,47.48,64.4,18.34,-94.89
127,chapada dos guimaraes,0,BR,1567121028,26,-15.46,91.4,3.36,-55.75
128,alyangula,39,AU,1567121028,73,-13.85,71.6,6.93,136.42
129,caravelas,76,BR,1567120374,78,-17.73,70.9,8.19,-39.27
130,havre-saint-pierre,90,CA,1567120478,93,50.23,59.0,12.75,-63.6
131,desert hot springs,1,US,1567121028,19,33.96,108.0,8.05,-116.5
132,the valley,20,AI,1567121029,78,18.22,84.2,6.93,-63.06
133,zhangjiakou,4,CN,1567121029,69,40.77,54.52,8.48,114.88
134,tuatapere,100,NZ,1567121029,77,-46.13,48.99,10.0,167.69
135,grand forks,40,US,1567121029,42,47.91,69.8,20.8,-97.06
136,shinshiro,75,JP,1567121029,100,34.95,77.0,8.05,137.53
137,noumea,100,NC,1567121029,77,-22.28,72.0,3.36,166.46
138,valday,34,RU,1567121030,86,57.98,52.0,4.38,33.25
139,tulun,39,RU,1567121030,86,54.56,54.52,3.36,100.58
140,suriapet,61,IN,1567121030,85,17.15,77.2,8.34,79.62
141,roald,17,NO,1567120473,93,62.58,53.01,10.29,6.12
142,ihosy,0,MG,1567121030,74,-22.4,54.52,7.94,46.13
143,brae,99,GB,1567121030,93,60.4,57.2,14.99,-1.35
144,ilulissat,5,GL,1567120466,28,69.22,46.4,10.29,-51.1
145,srednekolymsk,97,RU,1567121030,68,67.46,37.6,9.84,153.71
146,anori,92,BR,1567121031,63,-3.74,81.7,0.76,-61.66
147,bambous virieux,75,MU,1567120453,78,-20.34,73.0,8.05,57.76
148,jamestown,0,AU,1567120450,57,-33.21,51.46,12.19,138.6
149,likasi,4,CD,1567121031,38,-10.99,61.18,5.41,26.74
150,ahuimanu,40,US,1567121031,41,21.44,91.4,9.17,-157.84
